Eric,Campbell,FA,3B,-0.27040319601931762
Martin,Prado,FA,3B,-0.2670329585346638
Craig,Gentry,FA,LF,-0.25745960284355918
Byron,Buxton,CHOICE,CF,-0.25552051365246264
Ronald,Torreyes,FA,2B,-0.25375639192078336
Scott,Schebler,FA,LF,-0.24993005353437903
Brandon,Drury,POLLOS,3B,-0.24617328945268319
Alex,Avila,FA,C,-0.24082508018439658
Chris,Gimenez,FA,C,-0.24079969493676237
J.T.,Realmuto,PWRS,C,-0.23951207592778395
Martin,Maldonado,FA,C,-0.23534102685145861
Kurt,Suzuki,FA,C,-0.22848338506009044
Tim,Beckham,BALK,2B,-0.22731620425892163
Paul,Janish,FA,SS,-0.21554772000231975
Chris,Colabello,FA,LF,-0.21178891566494906
Jaff,Decker,FA,LF,-0.21175698165853937
Ramon,Cabrera,FA,C,-0.20910381393507321
Jemile,Weeks,FA,2B,-0.20775898599416645
Matt,Duffy,CORN,3B,-0.20643562310930913
Ryan,Schimpf,FA,2B,-0.20500060963007477
Albert,Almora,POLLOS,CF,-0.20395628337176488
Jake,Marisnick,POLLOS,CF,-0.20350205594606258
Miguel,Montero,CORN,C,-0.2009616213221205
Ryan,Howard,FA,1B,-0.20085153736209124
Rene,Rivera,FA,C,-0.19963547870775583
Bobby,Wilson,FA,C,-0.19928452402950131
Ben,Paulsen,FA,1B,-0.19585293455335795
Cedric,Hunter,FA,CF,-0.19493609538808007
Yasiel,Puig,BALK,RF,-0.19385585658931193
Jordy,Mercer,FA,SS,-0.19069735612074218
Jabari,Blash,FA,RF,-0.19050319022637396
Ryan,Flaherty,FA,2B,-0.18997187420035572
Shawn,O'Malley,FA,LF,-0.18376112743038889
Maikel,Franco,DIPA,3B,-0.17422626586461398
Carlos,Sanchez,FA,2B,-0.17028586387178357
Reid,Brignac,FA,3B,-0.17021002503885213
Danny,Worth,FA,SS,-0.16240334564910403
Yadiel,Rivera,FA,2B,-0.16046260406836615
Cole,Gillespie,FA,LF,-0.15973201216726135
Ji-Man,Choi,FA,1B,-0.15801011900622244
Tim,Federowicz,FA,C,-0.14881083360778746
Keon,Broxton,FA,CF,-0.14811610671642644
Austin,Barnes,FA,C,-0.14160549702404446
Ty,Kelly,FA,3B,-0.14014989467025923
Jhonny,Peralta,POLLOS,SS,-0.13927712135792236
