Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Jason Alexander,HOU,2.83584,2.62096,2.56619,4.51669,25.077,6.01168,0.147039,0.906355,0,53.8945,232.546,54.8808,29.3991,27.0472,7.7127,18.561,0.270155,2.27079,41.9266,7.00144,3.09955,2.25886,1.28797,0.180294,0.0798165,0.1004776656627655,0.259221,1.36269,0.291027,0.703063,,,4.59924,0.194089,0.19386,999,2.04414,-0.601412,0.581501,2.04414,0.601412,4.22467,183.20000000000005,3.3925925925925933,191,3.537037037037037,,,,,,,,,,,,,,,,,,,Jason Alexander,19666,669920
Tanner Houck,BOS,1.09958,1.46708,0.662249,4.83187,6.98479,2.78039,0,0,0,20.8343,90.9113,21.6653,12.1581,11.1854,2.64153,7.08724,0.227455,1.53082,16.868,7.28662,3.06154,2.38005,1.14109,0.185543,0.0779577,0.10758556425571442,0.26327,1.38006,0.303005,0.662337,,,4.40507,0.168692,0.0951927,999,1.80958,-0.226262,1.09168,1.80958,0.226262,3.54443,68.3,3.2523809523809524,73,3.4761904761904763,,,,,,,,,,,,,,,,,,,Tanner Houck,19879,656557
Cooper Criswell,SEA,2.0667,1.91978,1.1692,4.04396,26.7122,3.50742,0.157468,0.922142,0.057186,45.6865,194.484,44.5841,22.3133,20.5282,5.51736,14.247,0.361902,2.70511,36.4767,7.18573,2.80658,2.56032,1.08689,0.187557,0.0732553,0.11430139094591141,0.251133,1.28771,0.288236,0.714539,,,4.22142,0.163789,0.231736,999,1.58696,-0.82141,0.894415,1.58696,0.82141,3.80745,174.60000000000002,3.795652173913044,177,3.847826086956522,,,,,,,,,,,,,,,,,,,Cooper Criswell,24975,681867
Kohl Drake,ARI,1.42823,1.56168,1.35796,4.44977,5.03788,4.01229,0,0,0,22.9506,99.4893,22.6285,12.3339,11.3472,3.07295,9.07518,0.208337,0.999382,20.0207,7.85107,3.5588,2.2061,1.20505,0.201235,0.0912177,0.11001750826835632,0.253073,1.38139,0.294862,0.706885,,,4.44798,0.160612,0.246193,999,2.25391,-1.82606,1.06117,2.25391,1.82606,3.58511,83.50000000000001,3.6304347826086962,86,3.739130434782609,,,,,,,,,,,,,,,,,,,Kohl Drake,sa3021723,684442
Ronel Blanco,HOU,1.07132,1.12936,0.87644,4.1548,9.07664,2.1313,0,0.568578,0.611601,18.4412,77.9471,16.542,9.25354,8.51326,2.61656,7.46695,0.0609118,0.274301,18.954,9.25027,3.64416,2.53838,1.27698,0.243165,0.0957951,0.1473695933818817,0.235622,1.30192,0.286324,0.725233,,,4.1834,0.158734,0.128944,999,0.717851,-0.0443583,1.18714,0.717851,0.0443583,3.41715,73.10000000000001,4.061111111111112,72,4,,,,,,,,,,,,,,,,,,,Ronel Blanco,19407,669854
Mitch Farris,LAA,1.27779,2.22978,1.73161,4.88861,6.06519,5.92917,0,0.0648084,0,30.9238,134.846,30.0144,18.2578,16.7972,4.84076,13.6933,0.170225,1.15023,27.3011,7.94567,3.98528,1.99375,1.40885,0.202461,0.101548,0.10091345757246017,0.250114,1.4134,0.286517,0.689128,,,4.84445,0.155365,0.130046,999,1.43903,-1.15039,0.880486,1.43903,1.15039,3.82602,98.89999999999998,3.1903225806451605,99,3.193548387096774,,,,,,,,,,,,,,,,,,,Mitch Farris,33628,815083
Austin Gomber,TEX,1.10602,2.00153,0.694505,4.91027,16.0186,3.38264,0,0.81371,0,29.7139,125.728,30.9018,17.6212,16.2115,5.06598,7.92394,0.286284,0.435244,22.1723,6.71574,2.40007,2.79814,1.53443,0.176351,0.0630243,0.11332663148641586,0.263287,1.30665,0.286647,0.66821,,,4.70311,0.137594,-0.122526,999,7.17789,-2.15855,1.016,7.17789,2.15855,3.64533,103.9,3.4633333333333334,109,3.6333333333333333,,,,,,,,,,,,,,,,,,,Austin Gomber,16561,596295
Mason Barnett,ATH,1.95558,1.77405,1.47139,4.72532,21.1536,4.33329,0,0.598023,0,41.1735,179.825,40.4192,23.4974,21.6176,5.70382,17.6917,0.293471,1.89871,34.8042,7.60775,3.86717,1.96726,1.24678,0.193545,0.098383,0.095162354,0.252251,1.41136,0.289956,0.690536,,,4.67283,0.129294,0.0624611,999,2.76388,-2.1676,0.706577,2.76388,2.1676,4.0579,139.60000000000002,3.404878048780488,141,3.4390243902439024,,,,,,,,,,,,,,,,,,,Mason Barnett,31741,686930
Brandon Walter,HOU,0.28629,0.184055,0.313339,3.96779,1.37644,1.07347,0.028054,0,0,7.30334,29.6211,6.72091,3.49977,3.21979,0.970836,1.32904,0.0478801,0.349955,6.51932,8.03385,1.63779,4.90529,1.19637,0.22009,0.044868,0.17522253096103668,0.24053,1.10223,0.281151,0.680067,,,3.76762,0.125715,0.132556,999,0.820275,-1.01179,1.43468,0.820275,1.01179,3.08709,32.30000000000001,4.614285714285716,33,4.714285714285714,,,,,,,,,,,,,,,,,,,Brandon Walter,26056,687888
Gage Jump,ATH,0.889377,0.94676,0.952374,4.44249,2.59024,2.59024,0,0,0,14.3978,61.5753,13.9047,7.72489,7.10689,2.0967,5.12094,0.107576,0.652148,12.4699,7.79486,3.20108,2.43507,1.31064,0.202514,0.0831654,0.1193484365940094,0.249178,1.32143,0.286354,0.702335,,,4.499,0.125005,0.0723621,999,0.704657,0.836549,1.24423,0.704657,-0.836549,3.34102,48.6,3.4714285714285715,50,3.5714285714285716,,,,,,,,,,,,,,,,,,,Gage Jump,sa3034986,695611
Mitch Bratt,ARI,0.490472,0.577199,0.634962,4.29616,3.03336,2.40633,0,0,0,12.6538,53.2319,12.8675,6.56556,6.04031,1.84221,3.23134,0.107489,0.310468,10.6565,7.5794,2.29828,3.29785,1.31026,0.20019,0.0607031,0.13948683440685272,0.258955,1.27225,0.296447,0.705137,,,4.18313,0.124635,0.111895,999,0.907753,0.746125,1.32268,0.907753,-0.746125,3.23643,50.8,3.9076923076923076,52,4,,,,,,,,,,,,,,,,,,,Mitch Bratt,sa3017719,683352
Wade Miley,,1.68691,2.05958,1.49568,4.89175,7.20105,5.79306,0,0.0630919,0,31.3146,137.181,32.9764,18.5004,17.0204,4.5097,11.5816,0.124905,1.49719,20.975,6.02833,3.32863,1.81106,1.29611,0.1529,0.084426,0.068474211,0.26572,1.42291,0.288658,0.681344,,,4.92065,0.113229,0.0261364,999,1.12766,-0.155817,0.892368,1.12766,0.155817,3.81018,85.09999999999998,2.74516129,93,3,,,,,,,,,,,,,,,,,,,Wade Miley,8779,489119
McCade Brown,COL,1.56439,2.59345,1.76912,5.26371,12.3107,6.16847,0,0.578737,0,36.5243,161.868,36.9707,23.219,21.3615,6.33466,16.0183,0.251532,2.5934,33.2743,8.19916,3.9471,2.07726,1.56093,0.205564,0.0989592,0.10660511255264282,0.258073,1.45079,0.295579,0.674743,,,5.09649,0.112695,0.240803,999,2.00158,-1.45855,0.694254,2.00158,1.45855,4.07433,116.8,3.1567567567567565,120,3.2432432432432434,,,,,,,,,,,,,,,,,,,McCade Brown,30004,685326
Walker Buehler,SDP,2.38575,3.0053,1.99882,4.86712,18.8867,5.88422,0,0.488804,0,45.091,197.346,45.8654,26.5052,24.3848,6.84613,17.7893,0.492415,2.47635,36.7555,7.33628,3.55068,2.06616,1.36646,0.18625,0.0901428,0.096106663,0.259009,1.41169,0.292326,0.687062,,,4.82695,0.111275,-0.0348691,999,2.14699,-1.00259,0.610366,2.14699,1.00259,4.18618,141.29999999999998,3.1399999999999997,148,3.2888888888888888,,,,,,,,,,,,,,,,,,,Walker Buehler,19374,621111
