All Relief Pitchers   Projections Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank,
FA,"Joey Wentz SP,RP | ATL ",129,26,26,8,0,9,8,0,0,0,137,40,120,3.28,1.24,406
FA,"Jacob Latz SP,RP | TEX ",137,26,26,7,0,7,5,0,0,0,130,43,114,3.22,1.15,416
FA,"Joey Cantillo SP,RP | CLE ",134,26,26,4,0,7,8,0,0,0,151,52,117,3.49,1.26,455
Los Pollos,"Jeffrey Springs SP,RP | ATH ",143,27,27,13,0,10,8,0,0,0,119,43,132,3.78,1.22,458
American Double IPAs,"Brayan Bello SP,RP | BOS ",145,26,26,14,1,10,8,0,0,0,118,48,134,3.60,1.26,463
Cornballers,Robert Garcia RP | TEX,47,73,0,0,0,2,2,33,10,2,56,16,46,3.64,1.32,466
FA,"Luis Morales SP,RP | ATH",155,29,29,11,0,10,9,0,0,0,141,53,142,4.06,1.26,469
The Powers of Matthew Starr,"Braxton Ashcraft SP,RP | PIT ",127,26,26,6,0,7,7,0,0,0,127,39,114,3.33,1.20,470
FA,Joel Peguero RP | SF ,84,74,0,0,0,8,4,1,0,17,66,31,58,2.46,1.06,480
Izzy Alcantara's New Backstop Busters,"Chad Patrick SP,RP | MIL ",129,26,26,6,0,6,5,0,0,0,138,46,116,3.35,1.26,508
FA,"Steven Matz SP,RP | TB",129,26,26,6,0,8,6,0,0,0,113,36,123,3.56,1.23,519
Izzy Alcantara's New Backstop Busters,Robert Suarez RP | ATL,69,73,0,0,0,5,6,4,1,7,65,15,48,2.74,0.91,530
FA,"Davis Martin SP,RP | CHW ",146,26,26,10,0,9,8,0,0,0,109,52,134,3.64,1.27,538
FA,Will Vest RP | DET,61,65,0,0,0,5,2,8,2,10,65,17,51,2.51,1.11,542
Brophy's Choice,Jason Adam RP | SD ,72,76,0,0,0,4,2,0,0,36,75,24,47,1.88,0.99,543
FA,"Justin Sterner SP,RP | ATH",54,54,0,0,0,1,2,24,5,3,65,19,45,3.50,1.19,545
Brophy's Choice,"Aaron Ashby SP,RP | MIL ",92,74,0,0,0,5,2,1,0,13,105,38,77,2.64,1.25,554
FA,Luke Weaver RP | NYM,82,79,0,0,0,5,3,4,1,32,100,27,61,3.84,1.07,556
FA,Kirby Yates RP | LAA,59,66,0,0,0,1,2,22,3,3,86,28,45,3.97,1.24,561
The Compleat Works of Mtt McQny,Brooks Raley RP | NYM,54,69,0,0,0,5,1,1,0,25,55,14,28,2.17,0.78,567
FA,Jose Urquidy RP | PIT,139,26,26,10,0,7,9,0,0,0,136,44,134,3.88,1.28,569
FA,Cole Sulser RP | TB,88,68,0,0,0,4,4,1,0,9,83,32,69,2.15,1.15,570
FA,"Logan Taylor Allen SP,RP | CLE ",140,26,26,7,0,8,8,0,0,0,115,48,132,3.66,1.29,571
Bed Stuy Fish Fry,"Erick Fedde SP,RP | CHW",146,26,26,9,1,8,8,0,0,0,105,54,126,3.76,1.23,575
FA,Chris Murphy RP | CHW,99,71,0,0,0,7,4,1,0,10,90,60,63,3.27,1.24,584
FA,"Aaron Civale SP,RP | ATH ",134,26,26,6,0,8,7,0,0,0,117,42,126,4.10,1.25,589
FA,Kevin Ginkel RP | ARI ,55,66,0,0,0,2,3,31,9,3,68,20,61,5.24,1.47,590
Bed Stuy Fish Fry,Edwin Uceta RP | TB ,69,64,0,0,0,4,2,4,1,21,95,23,54,3.39,1.12,593
FA,"Kyle Leahy SP,RP | STL ",153,29,29,11,0,7,10,0,0,0,139,44,155,4.06,1.30,600
Cornballers,"Michael McGreevy SP,RP | STL ",146,26,26,13,0,9,9,0,0,0,95,29,149,4.13,1.22,603
FA,Garrett Cleavinger RP | TB,57,72,0,0,0,3,3,8,2,22,78,22,43,3.00,1.14,613
Cornballers,Lucas Erceg RP | KC ,68,74,0,0,0,3,3,8,2,30,59,19,54,2.78,1.07,615
American Double IPAs,"Dustin May SP,RP | STL ",143,26,26,12,0,8,11,0,0,0,128,47,140,4.28,1.31,620
Nate's Team,"Simeon Woods Richardson SP,RP | MIN",128,26,26,5,0,5,5,0,0,0,118,44,112,3.87,1.22,623
FA,Adrian Morejon RP | SD,61,70,0,0,0,5,3,1,0,18,63,17,49,2.51,1.08,624
FA,Clayton Beeter RP | WAS,61,61,0,0,0,1,2,24,7,3,93,48,39,5.02,1.43,627
FA,"Mike Vasil SP,RP | CHW",107,60,0,0,0,4,3,1,0,11,90,57,81,2.61,1.29,629
FA,Tanner Scott RP | LAD,64,74,0,0,0,5,5,5,1,20,69,24,50,3.38,1.16,630
The Dulcet Tones of Vincent Scully,"Michael Burrows SP,RP | HOU",119,26,26,3,0,2,4,0,0,0,123,41,98,3.48,1.17,632
Olympic-Size Swimming Pool Up On The Roof,Matt Strahm RP | KC ,58,66,0,0,0,2,1,4,1,23,62,14,38,2.48,0.90,633
American Double IPAs,Bryan King RP | HOU,69,82,0,0,0,4,2,1,0,28,75,14,62,2.74,1.10,634
AIDS,Dylan Lee RP | ATL,68,75,0,0,0,2,4,4,1,20,79,16,54,2.91,1.03,635
FA,Michael Kopech RP | LAD ,66,76,0,0,0,4,3,5,1,22,81,44,40,3.14,1.27,647
FA,Hunter Bigge RP | TB,82,83,0,0,0,1,1,1,0,8,79,25,64,2.31,1.09,650
