Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Tim Mayza,PHI,1.43839,1.12391,0,4.09871,23.6106,0,0,1.80277,0.627142,23.7293,102.083,24.0797,11.7463,10.8066,2.73617,7.96217,0.507607,0.988553,19.39,7.35419,3.01987,2.43526,1.03777,0.189944,0.0779972,0.11194665729999542,0.258554,1.35031,0.300588,0.719413,,,4.13147,0.0709646,0.0882966,999,0.771024,-1.17963,1.11517,0.771024,1.17963,3.51311,97.30000000000001,4.054166666666667,100,4.166666666666667,,,,,,,,,,,,,,,,,,,Tim Mayza,15042,641835
Jonathan Loáisiga,ARI,1.38115,1.42218,0,3.87206,37.0659,0,0.0500091,4.89382,4.05141,38.8151,166.116,38.621,18.1515,16.6994,4.26523,12.5985,1.38776,1.94412,32.616,7.56262,2.92119,2.58888,0.988973,0.196345,0.0758417,0.12050354480743408,0.254801,1.31958,0.299549,0.730814,,,4.00706,0.0706282,0.283011,999,2.11341,-2.57734,1.0143,2.11341,2.57734,3.6476,179.00000000000003,4.58974359,184,4.717948717948718,,,,,,,,,,,,,,,,,,,Jonathan Loaisiga,19753,642528
Danny Young,ATL,0.637885,0.462953,0,3.91564,14.9175,0,0,2.90003,0,15.1175,65.4347,13.6792,7.1491,6.57717,1.43665,6.3103,0.232586,1.45339,16.0183,9.53632,3.75676,2.53844,0.855292,0.244799,0.0964366,0.14836223423480988,0.237193,1.32228,0.304419,0.71422,,,3.79205,0.0699244,0.0973886,999,0.560846,0.0917219,1.26976,0.560846,-0.0917219,3.30698,85.30000000000001,5.686666666666667,85,5.666666666666667,,,,,,,,,,,,,,,,,,,Danny Young,18439,664849
Joel Payamps,ATL,2.42971,2.97684,0,4.19911,51.6608,0,0.352398,10.0004,0.972986,51.4085,217.481,49.4157,26.0712,23.9855,6.7441,16.1187,1.47745,2.34805,47.3655,8.2922,2.82187,2.93854,1.18068,0.217791,0.0741153,0.14367593079805374,0.248302,1.27478,0.29448,0.703535,,,4.0755,0.0697841,0.107841,999,1.40276,-2.84436,0.741877,1.40276,2.84436,4.01083,243.90000000000006,4.782352941176472,244,4.784313725490196,,,,,,,,,,,,,,,,,,,Joel Payamps,14332,606303
Grant Anderson,MIL,2.77471,3.19527,0,4.2542,53.2659,0,0.326849,7.86523,2.17645,56.6209,241.989,52.4002,29.0914,26.7641,7.78865,22.1714,1.88321,2.65089,55.9281,8.88988,3.52419,2.52253,1.23802,0.231118,0.0916215,0.13949667662382126,0.24129,1.31703,0.290723,0.714339,,,4.26304,0.0676881,0.0900271,999,1.15534,0.31611,0.565887,1.15534,-0.31611,4.24548,257.2,4.512280701754386,250,4.385964912280702,,,,,,,,,,,,,,,,,,,Grant Anderson,20546,681982
Joey Lucchesi,,1.62969,1.52414,0.0321043,4.2101,34.9333,0.181107,0,1.59251,0,38.3632,164.888,37.7725,19.5064,17.9459,4.46367,14.0337,0.642251,1.44532,29.7007,6.96777,3.29229,2.11639,1.04718,0.180126,0.08511,0.095015712,0.252812,1.35041,0.289026,0.708996,,,4.30979,0.0658881,-0.0145915,999,1.22879,0.44917,0.926128,1.22879,-0.44917,3.76516,156.2,4.110526315789474,161,4.2368421052631575,,,,,,,,,,,,,,,,,,,Joey Lucchesi,19320,664192
Bryan Hoeing,SDP,1.59612,1.5982,0,4.15776,27.0051,0.368632,0,1.57791,0,30.5216,129.82,29.926,15.3263,14.1002,3.59446,10.1119,0.345888,0.963689,24.9998,7.37176,2.98174,2.4723,1.05991,0.192573,0.0778923,0.11468111723661423,0.252021,1.31179,0.292087,0.705933,,,4.11658,0.0645668,0.122648,999,0.828055,-0.449708,1.0394,0.828055,0.449708,3.61413,127.19999999999999,4.103225806451612,128,4.129032258064516,,,,,,,,,,,,,,,,,,,Bryan Hoeing,26304,663773
Gus Varland,WSN,1.79057,2.4118,0,4.38971,41.6605,0,0,3.63513,0.575678,43.3728,188.831,42.5721,22.9944,21.1549,5.39207,17.7258,1.10415,2.31859,40.4662,8.39686,3.67816,2.2829,1.11887,0.214298,0.093871,0.12042691558599472,0.252224,1.39022,0.302452,0.707188,,,4.27174,0.0641257,-0.0294103,999,1.90129,-2.247,0.738958,1.90129,2.247,4.01472,180.89999999999998,4.206976744186046,186,4.325581395348837,,,,,,,,,,,,,,,,,,,Gus Varland,24737,681402
Chris Roycroft,STL,2.24133,2.57162,0,4.4442,36.551,0,0.160527,2.02205,1.92178,39.8918,176.681,40.0707,21.4115,19.6986,3.92793,18.4621,1.03116,2.06301,31.9422,7.2065,4.16525,1.73015,0.886181,0.18079,0.104494,0.07629627,0.256607,1.46729,0.300474,0.699957,,,4.35729,0.0634818,-0.00999676,999,2.98567,-2.63786,0.749749,2.98567,2.63786,4.00033,154.8,3.87,160,4,,,,,,,,,,,,,,,,,,,Chris Roycroft,31261,688297
Hunter Stratton,ATL,1.2362,0.893792,0,4.24587,22.02,0,0.0361546,2.35817,1.46227,23.6191,101.549,22.9637,12.1116,11.1426,2.88909,8.34925,0.285868,1.50413,21.1926,8.07537,3.18146,2.53826,1.10088,0.208694,0.0822191,0.12647464126348495,0.250434,1.32574,0.296901,0.704167,,,4.1823,0.0631839,0.0745701,999,1.68324,-1.86647,1.11206,1.68324,1.86647,3.51725,100.90000000000002,4.2041666666666675,101,4.208333333333333,,,,,,,,,,,,,,,,,,,Hunter Stratton,23455,676702
