All Starting Pitchers   Projections Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank,
Orchids of Asia Day Spa,Kris Bubic SP | KC ,150,26,26,16,0,11,8,0,0,0,150,49,142,3.18,1.27,147
AIDS,Robbie Ray SP | SF,145,26,26,14,1,8,8,0,0,0,155,57,129,3.72,1.28,150
FA,Zack Wheeler SP | PHI ,146,23,23,19,1,10,5,0,0,0,172,34,121,3.08,1.06,155
AIDS,Shota Imanaga SP | CHC ,173,30,30,18,0,12,8,0,0,0,153,36,155,3.54,1.10,157
FA,Michael King SP | SD ,146,27,27,9,1,10,7,0,0,0,159,44,131,3.27,1.20,158
American Double IPAs,Sonny Gray SP | BOS ,152,26,26,13,1,10,8,0,0,0,166,38,140,3.85,1.17,160
The Compleat Works of Mtt McQny,Ranger Suarez SP | BOS ,153,26,26,16,0,11,8,0,0,0,146,41,151,3.53,1.25,162
The Dulcet Tones of Vincent Scully,Carlos Rodon SP | NYY ,144,24,24,14,0,13,6,0,0,0,151,51,119,3.50,1.18,167
Bed Stuy Fish Fry,Luis Castillo SP | SEA,163,29,29,18,0,11,8,0,0,0,149,40,146,3.42,1.14,168
Orchids of Asia Day Spa,MacKenzie Gore SP | TEX ,141,26,26,12,0,9,8,0,0,0,155,41,123,3.00,1.16,169
The Powers of Matthew Starr,"Cade Horton SP,RP | CHC ",148,29,29,7,0,13,5,0,0,0,124,46,132,3.28,1.20,181
Bed Stuy Fish Fry,Drew Rasmussen SP | TB ,127,27,27,7,0,9,3,0,0,0,108,30,103,2.98,1.05,183
AIDS,Edward Cabrera SP | CHC ,136,26,26,8,0,8,7,0,0,0,145,39,117,3.31,1.15,184
FA,Matthew Boyd SP | CHC ,178,30,30,16,0,13,6,0,0,0,164,39,138,2.88,0.99,189
AIDS,Andrew Abbott SP | CIN ,153,27,27,11,1,10,8,0,0,0,138,45,139,3.23,1.20,197
Cornballers,Tanner Bibee SP | CLE ,175,30,30,12,1,9,12,0,0,0,164,54,165,4.11,1.25,199
FA,Merrill Kelly SP | ARI ,154,27,27,16,0,12,6,0,0,0,136,39,143,3.74,1.18,208
AIDS,Shane Baz SP | BAL ,142,26,26,11,0,8,9,0,0,0,140,48,140,4.56,1.32,209
FA,Casey Mize SP | DET,141,26,26,9,0,9,6,0,0,0,134,32,126,3.13,1.12,217
American Double IPAs,Aaron Nola SP | PHI ,150,26,26,13,0,10,10,0,0,0,151,41,145,4.08,1.24,219
FA,Zac Gallen SP | ARI ,155,27,27,13,0,11,10,0,0,0,145,50,146,4.06,1.26,220
FA,"Griffin Jax SP,RP | TB",59,72,0,0,0,1,3,25,7,3,83,16,50,3.36,1.12,221
Honeynut Ichiros,Noah Cameron SP | KC ,156,26,26,12,0,13,6,0,0,0,134,48,128,2.94,1.13,239
Izzy Alcantara's New Backstop Busters,Jack Flaherty SP | DET ,140,26,26,11,0,11,8,0,0,0,158,37,118,3.47,1.11,245
Orchids of Asia Day Spa,Ryan Weathers SP | NYY ,151,30,30,7,0,11,7,0,0,0,147,53,127,3.04,1.19,247
Nate's Team,Jack Leiter SP | TEX ,153,29,29,10,0,13,7,0,0,0,149,56,132,3.88,1.23,252
Orchids of Asia Day Spa,Bryce Miller SP | SEA ,156,29,29,10,0,10,7,0,0,0,137,44,130,3.81,1.12,254
Orchids of Asia Day Spa,Shane Bieber SP | TOR ,132,24,24,10,0,10,7,0,0,0,130,32,120,3.55,1.15,257
Izzy Alcantara's New Backstop Busters,"Ryne Nelson SP,RP | ARI ",152,27,27,14,0,8,4,0,0,0,128,37,132,3.38,1.11,258
FA,"Sean Manaea SP,RP | NYM",135,26,26,8,0,8,5,0,0,0,144,43,113,3.47,1.16,260
Bed Stuy Fish Fry,"Quinn Priester SP,RP | MIL ",162,30,30,12,0,11,7,0,0,0,136,52,155,3.61,1.28,261
Brophy's Choice,Zebby Matthews SP | MIN,127,26,26,6,0,7,10,0,0,0,138,34,129,3.97,1.28,266
Nate's Team,Kodai Senga SP | NYM ,134,26,26,7,0,7,8,0,0,0,134,60,121,4.30,1.35,270
Orchids of Asia Day Spa,Parker Messick SP | CLE,50,25,13,5,0,5,4,0,0,1,44,13,46,3.42,1.18,271
Northeastern Oklahoma A&M,Connelly Early SP | BOS ,49,25,12,3,0,5,4,0,0,1,51,15,45,3.67,1.22,272
Cornballers,"Roki Sasaki SP,RP | LAD ",53,25,14,4,0,4,3,0,0,1,36,28,38,3.40,1.25,273
The Compleat Works of Mtt McQny,Shane Smith SP | CHW ,158,30,30,8,0,12,6,0,0,0,153,53,126,3.42,1.13,296
AIDS,Michael Wacha SP | KC ,168,29,29,14,0,11,10,0,0,0,131,44,149,3.11,1.15,314
Brophy's Choice,Tyler Mahle SP | SF ,142,26,26,11,0,12,5,0,0,0,113,47,119,2.92,1.17,328
Izzy Alcantara's New Backstop Busters,Jameson Taillon SP | CHC ,150,26,26,16,0,12,7,0,0,0,115,32,132,3.48,1.09,336
FA,Spencer Arrighetti SP | HOU ,139,26,26,10,0,11,9,0,0,0,148,47,113,3.63,1.15,338
Los Pollos,Brady Singer SP | CIN ,162,29,29,14,0,12,11,0,0,0,152,47,147,3.72,1.20,339
FA,Logan Henderson SP | MIL ,138,26,26,9,0,9,5,0,0,0,142,44,114,3.13,1.14,345
Honeynut Ichiros,"Chris Bassitt SP,RP | BAL",152,26,26,10,1,10,8,0,0,0,146,43,143,3.38,1.22,364
The Powers of Matthew Starr,Cristian Javier SP | HOU,127,26,26,9,0,9,9,0,0,0,115,43,100,3.05,1.13,379
The Compleat Works of Mtt McQny,"Jacob Lopez SP,RP | ATH ",133,26,26,11,0,9,10,0,0,0,155,48,114,3.52,1.22,381
The Dulcet Tones of Vincent Scully,"Nick Martinez SP,RP | TB",149,26,26,12,0,12,8,0,0,0,117,31,134,4.11,1.11,385
FA,Seth Lugo SP | KC,154,26,26,15,0,10,6,0,0,0,132,48,139,3.45,1.21,394
Los Pollos,"Grant Holmes SP,RP | ATL ",141,26,26,11,0,8,6,0,0,0,149,49,124,3.25,1.23,395
Bed Stuy Fish Fry,JP Sears SP | SD,140,26,26,8,0,12,8,0,0,0,118,37,132,3.73,1.21,398
FA,Yusei Kikuchi SP | LAA,170,30,30,11,0,6,10,0,0,0,172,61,153,3.23,1.26,405
FA,"Joey Wentz SP,RP | ATL ",129,26,26,8,0,9,8,0,0,0,137,40,120,3.28,1.24,406
FA,Luis Severino SP | ATH,158,27,27,12,0,9,8,0,0,0,124,43,143,3.48,1.18,412
FA,"Jacob Latz SP,RP | TEX ",137,26,26,7,0,7,5,0,0,0,130,43,114,3.22,1.15,416
Izzy Alcantara's New Backstop Busters,Reynaldo Lopez SP | ATL ,140,26,26,15,0,8,5,0,0,0,142,46,134,3.15,1.29,428
